frame,servo_angle,speed
0,89.6484375,100
1,89.6484375,100
2,89.6484375,100
3,0.00274658203125,100
4,0.00274658203125,100
5,0.00274658203125,100
6,0.00274658203125,100
7,0.00274658203125,100
8,0.00274658203125,100
9,0.00274658203125,100
10,0.00274658203125,100
11,0.00274658203125,100
12,0.00274658203125,100
13,0.00274658203125,100
14,0.00274658203125,100
15,0.00274658203125,100
16,0.00274658203125,100
17,0.00274658203125,100
18,0.00274658203125,100
19,0.00274658203125,100
20,44.47265625,100
21,89.6484375,100
22,89.6484375,100
23,89.6484375,100
24,89.6484375,100
25,151.76513671875,100
26,89.6484375,100
27,89.6484375,100
28,100.23651123046875,100
29,180,100
30,180,100
31,180,100
32,180,100
33,180,100
34,180,100
35,180,100
36,180,100
37,180,100
38,180,100
39,180,100
40,180,100
41,180,100
42,108.70697021484375,100
43,89.6484375,100
44,89.6484375,100
45,89.6484375,100
46,89.6484375,100
47,89.6484375,100
48,89.6484375,100
49,109.412841796875,100
50,180,100
51,89.6484375,100
52,89.6484375,100
53,89.6484375,100
54,89.6484375,100
55,89.6484375,100
56,89.6484375,100
57,89.6484375,100
58,89.6484375,100
59,89.6484375,100
60,89.6484375,100
61,89.6484375,100
62,89.6484375,100
63,89.6484375,100
64,89.6484375,100
65,89.6484375,100
66,89.6484375,100
67,89.6484375,100
68,89.6484375,100
69,89.6484375,100
70,89.6484375,100
71,89.6484375,100
72,89.6484375,100
73,89.6484375,100
74,180,100
75,180,100
76,180,100
77,180,100
78,180,100
79,180,100
80,170.1177978515625,100
81,180,100
82,178.5882568359375,100
83,169.41192626953125,100
84,164.4708251953125,100
85,160.94146728515625,100
86,161.6473388671875,100
87,161.6473388671875,100
88,156.70623779296875,100
89,132.000732421875,100
90,89.6484375,100
91,89.6484375,100
92,89.6484375,100
93,89.6484375,100
94,89.6484375,100
